Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Score	Tags
1	Channel 1	5	7.1	7.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	7.1	0.7	narw
2	Channel 1	5	8.2	9.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	8.2	0.71	narw
3	Channel 1	3	9	10.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9	0.2	narw
4	Channel 1	3	9.2	11.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9.2	0.12	narw
5	Channel 1	2	9.2	11.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	9.2	0.29	narw
6	Channel 1	2	10.9	12.9995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	10.9	0.5	narw
7	Channel 1	1	12	12.1995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	12	1	narw
8	Channel 1	5	17.4	17.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	17.4	1	narw
9	Channel 1	4	18	18.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	18	1	narw
10	Channel 1	2	19.5	20.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	19.5	0.99	narw
11	Channel 1	2	23.7	25.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	23.7	0.04	narw
12	Channel 1	5	24.2	24.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.2	0.99	narw
13	Channel 1	2	24.3	26.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.3	0.07	narw
14	Channel 1	2	24.5	26.6995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.5	0.08	narw
15	Channel 1	2	24.9	27.0995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	24.9	0.11	narw
16	Channel 1	3	25.1	26.5995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	25.1	1	narw
17	Channel 1	4	27.7	28.4995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	27.7	0.94	narw
18	Channel 1	3	31.8	33.8995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	31.8	0.1	narw
19	Channel 1	3	32.6	34.3995	50	400	85941ORSUCCB01_002K_M05_multi_20190220_000000Z.flac	32.6	0.34	narw
